País,Total,Aérea,Marítima,Região,Continente,Ano,viagens_country,indicators_country,CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agric, hunt, forest, fish (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General gov final consumption expenditure,Gross capital formation,Gross fixed capital formation,Household consumption,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and comms (ISIC I)","Wholesale, retail, restaurants, hotels",GNI (USD),Gross Domestic Product (GDP),travels_per_capita,travels_per_1000_people
Espanha,28938,28878,60,Europa,Europa,2009,Espanha,Spain,724.0,Spain,2009,0.71984336,0.71984336,46367772.0,Euro,31424.0,33653154774.0,-80573085.0,149000000000.0,343000000000.0,1150000000000.0,307000000000.0,346000000000.0,346000000000.0,846000000000.0,356000000000.0,172000000000.0,220000000000.0,628000000000.0,1390000000000.0,115000000000.0,245000000000.0,1460000000000.0,1490000000000.0,0.0006240972716998349,0.624097271699835
Finlandia,2948,2945,3,Europa,Europa,2009,Finlandia,Finland,246.0,Finland,2009,0.71984336,0.71984336,5338815.0,Euro,47879.0,5690126809.0,-3835556670.0,14910188243.0,91097596593.0,192000000000.0,60765997776.0,54121496671.0,58050129145.0,132000000000.0,85950643510.0,42085544846.0,49877517813.0,103000000000.0,221000000000.0,22536847468.0,24845683102.0,256000000000.0,252000000000.0,0.0005521824599653668,0.5521824599653669
Franca,71643,71571,72,Europa,Europa,2009,Franca,France,250.0,France,2009,0.71984336,0.71984336,64203160.0,Euro,42863.0,35593854763.0,-19754297663.0,151000000000.0,668000000000.0,2140000000000.0,648000000000.0,574000000000.0,594000000000.0,1490000000000.0,689000000000.0,285000000000.0,341000000000.0,1340000000000.0,2430000000000.0,238000000000.0,328000000000.0,2750000000000.0,2690000000000.0,0.0011158796545216777,1.1158796545216778
Grecia,2071,2059,12,Europa,Europa,2009,Grecia,Greece,300.0,Greece,2009,0.71984336,0.71984336,11055496.0,Euro,29185.0,9255798375.0,-8273063742.0,14655367528.0,62637491042.0,302000000000.0,76915166678.0,60511461845.0,68784525587.0,225000000000.0,94907832477.0,25208846832.0,35876080051.0,152000000000.0,295000000000.0,32530154903.0,50804116622.0,323000000000.0,330000000000.0,0.00018732764228760067,0.18732764228760068
Holanda,13125,12982,143,Europa,Europa,2009,Holanda,Netherlands,528.0,Netherlands,2009,0.71984336,0.71984336,16536208.0,Euro,50506.0,13482099776.0,-3711918661.0,46560129429.0,540000000000.0,622000000000.0,226000000000.0,180000000000.0,184000000000.0,397000000000.0,474000000000.0,91172612913.0,130000000000.0,406000000000.0,780000000000.0,73093679736.0,111000000000.0,835000000000.0,868000000000.0,0.0007937128028384742,0.7937128028384742
Hungria,1335,1330,5,Europa,Europa,2009,Hungria,Hungary,348.0,Hungary,2009,202.3416667,202.3416667,10008579.0,Forint,12526.0,4006060706.0,-2222863968.0,5389236028.0,97285192537.0,98947791277.0,28860536222.0,27601418393.0,29824282361.0,70087255055.0,92765124995.0,22452454182.0,27495192126.0,48565711462.0,111000000000.0,12676608047.0,13303181912.0,125000000000.0,131000000000.0,0.00013338556852076603,0.13338556852076602
Inglaterra,54633,52794,1839,Europa,Europa,2009,Inglaterra,United Kingdom,826.0,United Kingdom,2009,0.641919263,0.641919263,62243378.0,Pound Sterling,38514.0,16319809353.0,-28720122683.0,122000000000.0,644000000000.0,2090000000000.0,532000000000.0,362000000000.0,391000000000.0,1560000000000.0,676000000000.0,218000000000.0,327000000000.0,1220000000000.0,2200000000000.0,223000000000.0,293000000000.0,2400000000000.0,2420000000000.0,0.000877731925153548,0.877731925153548
Irlanda,5998,5897,101,Europa,Europa,2009,Irlanda,Ireland,372.0,Ireland,2009,0.71984336,0.71984336,4499792.0,Euro,43720.0,1314826326.0,-2023977828.0,5793606266.0,220000000000.0,159000000000.0,47194734157.0,47814181422.0,49838159250.0,111000000000.0,188000000000.0,48014398591.0,54519995866.0,98050773186.0,212000000000.0,26261191054.0,25683231982.0,197000000000.0,235000000000.0,0.001332950500823149,1.332950500823149
Italia,38465,38359,106,Europa,Europa,2009,Italia,Italy,380.0,Italy,2009,0.71984336,0.71984336,59562841.0,Euro,36763.0,39499982341.0,-14701114980.0,119000000000.0,491000000000.0,1780000000000.0,453000000000.0,427000000000.0,442000000000.0,1320000000000.0,504000000000.0,300000000000.0,361000000000.0,974000000000.0,1980000000000.0,191000000000.0,296000000000.0,2190000000000.0,2190000000000.0,0.0006457885378570173,0.6457885378570173
Noruega,9556,9542,14,Europa,Europa,2009,Noruega,Norway,578.0,Norway,2009,6.288333333,6.288333333,4829199.0,Norwegian Krone,80426.0,5021680360.0,5652213093.0,19315133846.0,152000000000.0,247000000000.0,83410654651.0,95536443149.0,89884230056.0,163000000000.0,107000000000.0,28371905645.0,113000000000.0,142000000000.0,345000000000.0,33808958389.0,31466843361.0,388000000000.0,386000000000.0,0.001978796069493098,1.978796069493098
Polonia,3730,3716,14,Europa,Europa,2009,Polonia,Poland,616.0,Poland,2009,3.120141667,3.120141667,38555285.0,Zloty,11060.0,11252373690.0,-3946295174.0,33333101862.0,163000000000.0,354000000000.0,82461640364.0,90409035915.0,94355331088.0,271000000000.0,168000000000.0,71806354946.0,96423826910.0,134000000000.0,390000000000.0,38203073044.0,77558016864.0,426000000000.0,440000000000.0,9.67441947323175e-05,0.0967441947323175
Portugal,39265,39237,28,Europa,Europa,2009,Portugal,Portugal,620.0,Portugal,2009,0.71984336,0.71984336,10591343.0,Euro,22240.0,4753421635.0,-1058439992.0,13569542411.0,66511290754.0,210000000000.0,51919637088.0,50790471987.0,51848911979.0,158000000000.0,83338382142.0,27130071750.0,34819840538.0,105000000000.0,216000000000.0,18033830310.0,39679567244.0,236000000000.0,244000000000.0,0.0037072730058879217,3.7072730058879215
Republica Tcheca,1371,1369,2,Europa,Europa,2009,Republica Tcheca,Czechia,203.0,Czechia,2009,19.063,19.063,10421510.0,Czech Koruna,18530.0,3644179825.0,-1891307769.0,13074437392.0,121000000000.0,144000000000.0,42879662173.0,55594030321.0,57485338089.0,101000000000.0,113000000000.0,42239731417.0,55353354666.0,70796831559.0,188000000000.0,21247232859.0,23580496249.0,193000000000.0,207000000000.0,0.00013155483226519,0.13155483226519
Russia,3976,3882,94,Europa,Europa,2009,Russia,Russian Federation,643.0,Russian Federation,2009,31.74035833,31.74035833,143163643.0,Russian Ruble,8346.0,49950719511.0,-44507518966.0,66564815851.0,342000000000.0,914000000000.0,246000000000.0,247000000000.0,292000000000.0,667000000000.0,251000000000.0,161000000000.0,297000000000.0,362000000000.0,1080000000000.0,100000000000.0,202000000000.0,1190000000000.0,1230000000000.0,2.7772414257438253e-05,0.027772414257438253
Suecia,9398,9376,22,Europa,Europa,2009,Suecia,Sweden,752.0,Sweden,2009,7.653819167,7.653819167,9301413.0,Swedish Krona,48033.0,6271640204.0,-6482515319.0,22300762049.0,190000000000.0,321000000000.0,113000000000.0,91832454451.0,98314969771.0,208000000000.0,166000000000.0,60016442772.0,75496296348.0,185000000000.0,385000000000.0,48557849605.0,47875837150.0,447000000000.0,437000000000.0,0.001010384121208251,1.010384121208251
Suica,11543,11407,136,Europa,Europa,2009,Suica,Switzerland,756.0,Switzerland,2009,1.088141696,1.088141696,7734405.0,Swiss Franc,72687.0,4004077144.0,-4419269123.0,25756965168.0,322000000000.0,362000000000.0,62874305095.0,154000000000.0,158000000000.0,299000000000.0,280000000000.0,101000000000.0,114000000000.0,252000000000.0,539000000000.0,43377287010.0,99778446345.0,562000000000.0,558000000000.0,0.001492422494038003,1.4924224940380029
Outros,8480,8404,76,Europa,Europa,2009,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,12502,12173,329,Oceania,Oceania,2009,Australia,Australia,36.0,Australia,2009,1.28218881,1.28218881,21660892.0,Australian Dollar,45132.0,22417915188.0,-2543307175.0,76263339089.0,201000000000.0,754000000000.0,191000000000.0,272000000000.0,275000000000.0,563000000000.0,211000000000.0,81257923311.0,180000000000.0,474000000000.0,947000000000.0,80073230395.0,114000000000.0,978000000000.0,1020000000000.0,0.0005771692135300799,0.5771692135300799
Nova Zelandia,2899,2868,31,Oceania,Oceania,2009,Nova Zelandia,New Zealand,554.0,New Zealand,2009,1.600877295,1.600877295,4302886.0,New Zealand Dollar,27052.0,6979922842.0,-531583528.0,6536416021.0,34875877225.0,94603128205.0,24007461481.0,23953740936.0,24485324464.0,70595666724.0,32057422610.0,13070958069.0,19443089169.0,57197388128.0,113000000000.0,8644635064.0,13710607344.0,116000000000.0,121000000000.0,0.0006737338614130144,0.6737338614130144
Outros,28,27,1,Oceania,Oceania,2009,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paises nao especificados,49,38,11,Desconhecido,Oceania,2009,Paises nao especificados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa do Sul,1901,1515,386,África,África,2010,Africa do Sul,South Africa,710.0,South Africa,2010,7.321221961,7.321221961,51784921.0,Rand,7903.0,8797138011.0,141940760.0,13943437385.0,108000000000.0,335000000000.0,75109059411.0,73437855349.0,73295914589.0,260000000000.0,103000000000.0,57844851890.0,91664083340.0,183000000000.0,383000000000.0,32067324450.0,52773567316.0,409000000000.0,417000000000.0,3.670952785657431e-05,0.03670952785657431
Angola,15900,15900,0,África,África,2010,Angola,Angola,24.0,Angola,2010,91.90572034,91.90572034,23364185.0,Kwanza,3234.0,5179053428.0,-32838000.0,7567788441.0,51572807247.0,44279724474.0,14281395253.0,23629198410.0,23662036410.0,29998329221.0,35682251201.0,4194167642.0,36316686666.0,17257490313.0,84164635743.0,3735229797.0,14108387098.0,75567768182.0,83799478930.0,0.000680528766571571,0.680528766571571
Cabo Verde,146,146,0,África,África,2010,Cabo Verde,Cabo Verde,132.0,Cabo Verde,2010,83.25880686,83.25880686,521212.0,Cabo Verde Escudo,3048.0,132974521.0,40828113.0,179839233.0,543735873.0,1355587526.0,306711097.0,792999594.0,752171480.0,1048876429.0,1028011369.0,90415300.0,122211960.0,496202827.0,1452942119.0,252644384.0,269069193.0,1588888972.0,1664316428.0,0.0002801163442131033,0.2801163442131033
Nigeria,468,468,0,África,África,2010,Nigeria,Nigeria,566.0,Nigeria,2010,150.298025,150.298025,160952853.0,Naira,2160.0,86820121555.0,2714624119.0,10452389301.0,93240352493.0,280000000000.0,32150441498.0,63813626870.0,61099002751.0,250000000000.0,64169874088.0,23810304347.0,81541061038.0,78834671583.0,363000000000.0,44244303843.0,61467278443.0,348000000000.0,363000000000.0,2.9076837799203223e-06,0.0029076837799203222
Outros,3598,3332,266,África,África,2010,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2135,2125,10,Am Central e Caribe,América,2010,Costa Rica,Costa Rica,188.0,Costa Rica,2010,525.8292007,525.8292007,4622252.0,Costa Rican Colon,7886.0,2442233889.0,142164829.0,2104842482.0,12363108598.0,30887368084.0,6259132962.0,7469183227.0,7327018398.0,24628235122.0,13061023672.0,5488991300.0,6678268146.0,16035809990.0,34538960045.0,2617622616.0,4660182922.0,36450013328.0,37658636237.0,0.0004618960627849801,0.46189606278498013
Cuba,1033,1014,19,Am Central e Caribe,América,2010,Cuba,Cuba,192.0,Cuba,2010,1.0,1.0,11290417.0,Cuban Peso,5571.0,2325000000.0,918000000.0,3211000000.0,14519000000.0,54729000000.0,22360000000.0,6480000000.0,5562000000.0,32369000000.0,11400000000.0,10055000000.0,11516000000.0,26148000000.0,63670000000.0,5314000000.0,15156000000.0,62896000000.0,64328000000.0,9.149352056704371e-05,0.09149352056704371
Guatemala,1218,1191,27,Am Central e Caribe,América,2010,Guatemala,Guatemala,320.0,Guatemala,2010,8.057770833,8.057770833,14543121.0,Quetzal,2715.0,4380084436.0,34787933.0,1718684728.0,9736377151.0,39180659153.0,4551274468.0,6412397171.0,6377609238.0,34629384684.0,14711301979.0,5728662113.0,7546328990.0,13846011858.0,38284928495.0,3093792067.0,7700026416.0,39487114295.0,40682126237.0,8.375093626739405e-05,0.08375093626739405
Panama,1152,1146,6,Am Central e Caribe,América,2010,Panama,Panama,591.0,Panama,2010,1.0,1.0,3623617.0,Balboa,7273.0,1063696955.0,2531700000.0,2568667004.0,20620600000.0,20601400000.0,3713100000.0,11250000000.0,8718300000.0,16888300000.0,23031700000.0,2089319287.0,3086529617.0,10462051187.0,28180150585.0,4359030069.0,6640175753.0,26353488883.0,29440287581.0,0.00031791439327059126,0.31791439327059123
Outros,3732,3507,225,Am Central e Caribe,América,2010,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,12506,11664,842,América do Norte,América,2010,Canada,Canada,124.0,Canada,2010,1.030162783,1.030162783,33963412.0,Canadian Dollar,46677.0,24149581417.0,335869249.0,112000000000.0,472000000000.0,1270000000000.0,347000000000.0,380000000000.0,379000000000.0,922000000000.0,502000000000.0,162000000000.0,310000000000.0,765000000000.0,1510000000000.0,112000000000.0,190000000000.0,1590000000000.0,1620000000000.0,0.0003682197772120186,0.36821977721201865
Estados Unidos,179385,176096,3289,América do Norte,América,2010,Estados Unidos,United States,840.0,United States,2010,1.0,1.0,311182845.0,US Dollar,48756.0,145000000000.0,53917000000.0,526000000000.0,1860000000000.0,12800000000000.0,2510000000000.0,2810000000000.0,2760000000000.0,10300000000000.0,2390000000000.0,1800000000000.0,2430000000000.0,8350000000000.0,15000000000000.0,1450000000000.0,2150000000000.0,15200000000000.0,15000000000000.0,0.0005764617262240147,0.5764617262240147
Mexico,8392,8267,125,América do Norte,América,2010,Mexico,Mexico,484.0,Mexico,2010,12.63600833,12.63600833,112532401.0,Mexican Peso,9288.0,34052235298.0,12803559457.0,81143871621.0,314000000000.0,816000000000.0,125000000000.0,241000000000.0,228000000000.0,691000000000.0,329000000000.0,166000000000.0,261000000000.0,355000000000.0,1010000000000.0,91582085139.0,192000000000.0,1050000000000.0,1060000000000.0,7.457407755833807e-05,0.07457407755833807
Argentina,215252,175038,40214,América do Sul,América,2010,Argentina,Argentina,32.0,Argentina,2010,3.896295154,3.896295154,41100123.0,Argentine Peso,10023.0,30417797999.0,4538114802.0,18599993245.0,80750377757.0,339000000000.0,64671351455.0,75511876947.0,70973762144.0,274000000000.0,68396599652.0,67576340411.0,89125513682.0,133000000000.0,358000000000.0,25481299843.0,61136869866.0,412000000000.0,426000000000.0,0.005237259265623123,5.2372592656231225
Bolivia,1055,1012,43,América do Sul,América,2010,Bolivia,Bolivia (Plurinational State of),68.0,Bolivia (Plurinational State of),2010,7.016666667,7.016666667,10223270.0,Boliviano,1837.0,2041581948.0,85425178.0,524378622.0,8093216152.0,14959282660.0,2717800475.0,3341828979.0,3256403800.0,12241482185.0,6744598575.0,2214527316.0,5398821378.0,4862942708.0,16522727031.0,1763743468.0,1931258907.0,18783277910.0,19649786223.0,0.00010319594415485456,0.10319594415485456
Chile,60830,60357,473,América do Sul,América,2010,Chile,Chile,152.0,Chile,2010,510.2491667,510.2491667,17004162.0,Chilean Peso,11945.0,7902080519.0,3464191607.0,13079923371.0,82487250044.0,154000000000.0,26462147473.0,50569562320.0,47105370714.0,127000000000.0,68442913535.0,23542027669.0,64927220198.0,75933479995.0,201000000000.0,18137726830.0,21269353698.0,203000000000.0,219000000000.0,0.0035773594723456526,3.5773594723456528
Colombia,8473,8329,144,América do Sul,América,2010,Colombia,Colombia,170.0,Colombia,2010,1898.569636,1898.569636,44816108.0,Colombian Peso,6172.0,18124697323.0,-452445875.0,15683385763.0,46826831270.0,228000000000.0,39431790428.0,62725115656.0,63177561531.0,189000000000.0,51362877690.0,40024341778.0,74215344714.0,98508369908.0,261000000000.0,22600698540.0,31912972193.0,277000000000.0,287000000000.0,0.00018906148655300456,0.18906148655300456
Equador,5638,5622,16,América do Sul,América,2010,Equador,Ecuador,218.0,Ecuador,2010,1.0,1.0,14989585.0,US Dollar,4574.0,6769906000.0,2373567000.0,6501177000.0,19402439000.0,53193172000.0,9181067000.0,19501456000.0,17127889000.0,44012105000.0,22541700000.0,9321734000.0,17651358000.0,21640818000.0,66499460000.0,5382652000.0,8553549000.0,68569173000.0,69555367000.0,0.0003761278247529868,0.3761278247529868
Guiana Francesa,1,1,0,América do Sul,América,2010,Guiana Francesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguai,4315,4273,42,América do Sul,América,2010,Paraguai,Paraguay,600.0,Paraguay,2010,4735.461667,4735.461667,5768613.0,Guarani,4482.0,3547862575.0,693338399.0,1521922601.0,11487694438.0,19939398029.0,2470211236.0,6497620991.0,5804282592.0,17469186794.0,10663826861.0,5057331703.0,7911411565.0,6437064619.0,25343742137.0,1955344775.0,3970136003.0,25854843999.0,27260886597.0,0.0007480134306114832,0.7480134306114832
Peru,12364,12224,140,América do Sul,América,2010,Peru,Peru,604.0,Peru,2010,2.825125,2.825125,29229572.0,Nuevo Sol,4676.0,10073182603.0,364585638.0,9188266006.0,41051280917.0,107000000000.0,15528516437.0,35053316225.0,34688730587.0,91074908190.0,35180390248.0,22950134950.0,43585328083.0,39890270342.0,135000000000.0,11727268705.0,20587761603.0,137000000000.0,148000000000.0,0.0004229962724052203,0.4229962724052203
Republica da Guiana,31,31,0,América do Sul,América,2010,Republica da Guiana,Guyana,328.0,Guyana,2010,203.6358333,203.6358333,747932.0,Guyana Dollar,4616.0,979356963.0,,327081722.0,1720451027.0,3517550812.0,518830471.0,871813191.0,871813191.0,2998720342.0,2676906763.0,197189048.0,527804368.0,916464768.0,3261116629.0,202653465.0,307755343.0,3452320637.0,3432912791.0,4.1447618232673556e-05,0.04144761823267355
Suriname,7,6,1,América do Sul,América,2010,Suriname,Suriname,740.0,Suriname,2010,2.745416667,2.745416667,546080.0,Surinam Dollar,7805.0,453491560.0,,225082769.0,2177718693.0,2426892912.0,626719668.0,1660801888.0,1660801888.0,1800173244.0,1833287215.0,994586613.0,1439169392.0,893476298.0,4243837221.0,270865638.0,961751564.0,4261931583.0,4481826042.0,1.2818634632288309e-05,0.01281863463228831
Uruguai,15182,14353,829,América do Sul,América,2010,Uruguai,Uruguay,858.0,Uruguay,2010,20.059275,20.059275,3352651.0,Peso Uruguayo,11568.0,2901316224.0,135996939.0,2967156091.0,10612148246.0,32068706371.0,5094351615.0,7818278577.0,7682281638.0,26974354756.0,10214576549.0,5449798161.0,6914120276.0,15106628234.0,36246103115.0,2848557587.0,5508324703.0,38782009818.0,40284556645.0,0.0045283568137572325,4.528356813757233
Venezuela,11714,11672,42,América do Sul,América,2010,Venezuela,Venezuela (Bolivarian Republic of),862.0,Venezuela (Bolivarian Republic of),2010,2.58e-11,2.58e-11,28715022.0,Bolivar Digital,13487.0,21168366839.0,12952059940.0,31910950896.0,112000000000.0,264000000000.0,44143817722.0,86525864051.0,73574191399.0,220000000000.0,69335715664.0,50892304533.0,159000000000.0,82821845235.0,374000000000.0,21259766718.0,58035824720.0,387000000000.0,394000000000.0,0.0004079397884494046,0.40793978844940465
China,6780,6707,73,Ásia,Ásia,2010,China,China,156.0,China,2010,6.770269029,6.770269029,1348191368.0,Yuan Renminbi,4496.0,599000000000.0,160000000000.0,401000000000.0,1650000000000.0,2980000000000.0,888000000000.0,2830000000000.0,2670000000000.0,2090000000000.0,1430000000000.0,1920000000000.0,2400000000000.0,1590000000000.0,6040000000000.0,410000000000.0,644000000000.0,6060000000000.0,6090000000000.0,5.028959657305861e-06,0.005028959657305861
india,3033,2538,495,Ásia,Ásia,2010,india,India,356.0,India,2010,45.72581212,45.72581212,1240613620.0,Indian Rupee,1331.0,284000000000.0,72945451273.0,138000000000.0,374000000000.0,1100000000000.0,184000000000.0,664000000000.0,591000000000.0,914000000000.0,448000000000.0,284000000000.0,375000000000.0,491000000000.0,1550000000000.0,98314273524.0,162000000000.0,1650000000000.0,1670000000000.0,2.44475794163859e-06,0.00244475794163859
Israel,5711,5651,60,Ásia,Ásia,2010,Israel,Israel,376.0,Israel,2010,3.738975,3.738975,7328445.0,New Israeli Sheqel,31427.0,3691587403.0,98438984.0,11190554429.0,81346358293.0,186000000000.0,52980880803.0,44393808811.0,44295369827.0,133000000000.0,76946756798.0,33146945254.0,37693728571.0,111000000000.0,209000000000.0,22431362101.0,23115711388.0,230000000000.0,235000000000.0,0.0007792921963663506,0.7792921963663506
Japao,6353,5836,517,Ásia,Ásia,2010,Japao,Japan,392.0,Japan,2010,87.779875,87.779875,128105431.0,Yen,46153.0,63826702875.0,-1690592519.0,267000000000.0,859000000000.0,4380000000000.0,1110000000000.0,1300000000000.0,1300000000000.0,3280000000000.0,782000000000.0,1200000000000.0,1360000000000.0,2560000000000.0,5760000000000.0,583000000000.0,917000000000.0,5910000000000.0,5760000000000.0,4.959196460609074e-05,0.04959196460609074
Republica da Coreia,2347,2332,15,Ásia,Ásia,2010,Republica da Coreia,Republic of Korea,410.0,Republic of Korea,2010,1156.060988,1156.060988,48813042.0,Won,23473.0,24528982724.0,26600672735.0,52479411239.0,539000000000.0,740000000000.0,163000000000.0,372000000000.0,346000000000.0,577000000000.0,507000000000.0,314000000000.0,338000000000.0,424000000000.0,1040000000000.0,87465108727.0,114000000000.0,1150000000000.0,1140000000000.0,4.808141234057898e-05,0.04808141234057898
Outros,7214,5578,1636,Ásia,Ásia,2010,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemanha,46436,45282,1154,Europa,Europa,2010,Alemanha,Germany,276.0,Germany,2010,0.755044952,0.755044952,81325090.0,Euro,42600.0,27296388044.0,12207220213.0,132000000000.0,1450000000000.0,2540000000000.0,664000000000.0,682000000000.0,669000000000.0,1870000000000.0,1270000000000.0,669000000000.0,780000000000.0,1500000000000.0,3050000000000.0,271000000000.0,344000000000.0,3460000000000.0,3400000000000.0,0.0005709922977029598,0.5709922977029598
Austria,5168,5064,104,Europa,Europa,2010,Austria,Austria,40.0,Austria,2010,0.755044952,0.755044952,8362829.0,Euro,47253.0,4966565223.0,1883371310.0,22678848398.0,201000000000.0,290000000000.0,80308807893.0,88598513007.0,86715141698.0,210000000000.0,187000000000.0,64578049123.0,77390928641.0,151000000000.0,349000000000.0,30626375210.0,62402205161.0,395000000000.0,392000000000.0,0.000617972697994901,0.617972697994901
Belgica,6921,6823,98,Europa,Europa,2010,Belgica,Belgium,56.0,Belgium,2010,0.755044952,0.755044952,10877947.0,Euro,44892.0,3679780909.0,4692965618.0,23468933808.0,365000000000.0,362000000000.0,114000000000.0,111000000000.0,107000000000.0,247000000000.0,357000000000.0,64152206928.0,77023890891.0,219000000000.0,430000000000.0,44243193616.0,62232321236.0,488000000000.0,481000000000.0,0.0006362413790028578,0.6362413790028578
Dinamarca,6092,6065,27,Europa,Europa,2010,Dinamarca,Denmark,208.0,Denmark,2010,5.624075,5.624075,5550849.0,Danish Krone,58957.0,3870147535.0,-566141099.0,12267439535.0,163000000000.0,241000000000.0,88116738664.0,58204015416.0,58770156515.0,153000000000.0,140000000000.0,35206678432.0,51181394274.0,143000000000.0,278000000000.0,29449998444.0,37862581847.0,327000000000.0,322000000000.0,0.0010974897713845215,1.0974897713845215
Espanha,35614,35403,211,Europa,Europa,2010,Espanha,Spain,724.0,Spain,2010,0.755044952,0.755044952,46572772.0,Euro,30061.0,34539665395.0,4585157468.0,116000000000.0,369000000000.0,1120000000000.0,293000000000.0,317000000000.0,312000000000.0,825000000000.0,383000000000.0,162000000000.0,213000000000.0,598000000000.0,1310000000000.0,110000000000.0,234000000000.0,1400000000000.0,1420000000000.0,0.0007646957325194214,0.7646957325194215
Finlandia,2664,2659,5,Europa,Europa,2010,Finlandia,Finland,246.0,Finland,2010,0.755044952,0.755044952,5363271.0,Euro,47062.0,6027455700.0,-619830646.0,14209749991.0,95721453153.0,190000000000.0,59021651469.0,54938450871.0,55645693530.0,131000000000.0,92321655573.0,42283575191.0,50971799624.0,101000000000.0,218000000000.0,22013258888.0,24093929708.0,252000000000.0,249000000000.0,0.0004967118014361012,0.4967118014361012
Franca,62697,62210,487,Europa,Europa,2010,Franca,France,250.0,France,2010,0.755044952,0.755044952,64570189.0,Euro,41874.0,42388204723.0,-4205047649.0,143000000000.0,708000000000.0,2100000000000.0,634000000000.0,580000000000.0,584000000000.0,1460000000000.0,742000000000.0,273000000000.0,328000000000.0,1320000000000.0,2380000000000.0,232000000000.0,314000000000.0,2700000000000.0,2640000000000.0,0.0009709898789362379,0.9709898789362379
Grecia,2241,2227,14,Europa,Europa,2010,Grecia,Greece,300.0,Greece,2010,0.755044952,0.755044952,11033783.0,Euro,26307.0,8870428154.0,3865932740.0,12008319473.0,64704472060.0,266000000000.0,66363203764.0,53389576202.0,49523643462.0,200000000000.0,87267168433.0,23312042486.0,32223774142.0,135000000000.0,262000000000.0,27096789332.0,46493858289.0,290000000000.0,297000000000.0,0.0002031035049357052,0.2031035049357052
Holanda,11703,11424,279,Europa,Europa,2010,Holanda,Netherlands,528.0,Netherlands,2010,0.755044952,0.755044952,16617117.0,Euro,50493.0,15056057219.0,4971889409.0,39979076637.0,591000000000.0,607000000000.0,222000000000.0,171000000000.0,166000000000.0,385000000000.0,522000000000.0,88627835765.0,127000000000.0,400000000000.0,761000000000.0,71145432942.0,108000000000.0,839000000000.0,847000000000.0,0.0007042737918978364,0.7042737918978365
Hungria,1423,1406,17,Europa,Europa,2010,Hungria,Hungary,348.0,Hungary,2010,207.9441667,207.9441667,9986825.0,Forint,12612.0,4010422670.0,1322845475.0,4647362874.0,107000000000.0,97896975550.0,28286044732.0,28000448838.0,26677603363.0,69610930819.0,101000000000.0,23895370953.0,28660698184.0,49087614063.0,112000000000.0,12695215462.0,13105647750.0,126000000000.0,132000000000.0,0.00014248772758108808,0.14248772758108808
Inglaterra,59234,57474,1760,Europa,Europa,2010,Inglaterra,United Kingdom,826.0,United Kingdom,2010,0.647179346,0.647179346,62760039.0,Pound Sterling,39714.0,14736255206.0,9462601120.0,125000000000.0,712000000000.0,2130000000000.0,537000000000.0,404000000000.0,395000000000.0,1590000000000.0,754000000000.0,237000000000.0,344000000000.0,1230000000000.0,2240000000000.0,229000000000.0,303000000000.0,2490000000000.0,2490000000000.0,0.000943817131789864,0.9438171317898639
Irlanda,5355,5290,65,Europa,Europa,2010,Irlanda,Ireland,372.0,Ireland,2010,0.755044952,0.755044952,4524585.0,Euro,41187.0,2116190560.0,-664614734.0,3102223244.0,229000000000.0,147000000000.0,41380985222.0,38303241315.0,38967856049.0,105000000000.0,192000000000.0,43215180651.0,48641009920.0,96362369960.0,202000000000.0,26081559711.0,25437937105.0,186000000000.0,222000000000.0,0.001183533959468106,1.183533959468106
Italia,37539,36330,1209,Europa,Europa,2010,Italia,Italy,380.0,Italy,2010,0.755044952,0.755044952,59822450.0,Euro,35597.0,37889797057.0,9792397102.0,108000000000.0,535000000000.0,1730000000000.0,439000000000.0,439000000000.0,429000000000.0,1300000000000.0,575000000000.0,304000000000.0,359000000000.0,945000000000.0,1920000000000.0,185000000000.0,285000000000.0,2130000000000.0,2130000000000.0,0.0006275068974941682,0.6275068974941682
Noruega,10046,10034,12,Europa,Europa,2010,Noruega,Norway,578.0,Norway,2010,6.044166667,6.044166667,4889741.0,Norwegian Krone,88636.0,6725492899.0,20050241279.0,20381800634.0,170000000000.0,271000000000.0,91497642355.0,109000000000.0,89023521302.0,180000000000.0,122000000000.0,30836839928.0,129000000000.0,154000000000.0,382000000000.0,37079387840.0,34774686337.0,433000000000.0,429000000000.0,0.0020545055453857373,2.0545055453857373
